ime,gorovje,visina,geografska_sirina,geografska_dolzina,vrsta,st_ogledov,priljubljenost,mesto,st_poti,st_gsp_sledi,opis
Slavnik,"Goriško, Notranjsko in Snežniško hribovje", 1028,"45,53388°N","13,97581°E"," vrh, koča", 673045, 99% ,23. mesto,8,4,"Slavnik je razgledna gora, ki se dviga južno od Kozine in zahodno od Podgorja. Podgorje je vasica, ki je primerno izhodišče za vzpon na omenjeno goro. <br> Na vrhu Slavnika se nahaja razgledna plošča        in ob njen žig. Le nekaj korakov pod vrhom pa se nahaja Tumova koča na Slavniku, ki so jo odprli leta 1957.<br> Razgled s Slavnika pa je med lepšimi saj ob lepem vremenu vidimo Jadransko morje, italijanske Dolomite, kjer je najvišja Marmolada, del Karnijskih in Julijskih Alp, kjer izstopa Triglav in nato prek Karavank do Kamniško in Savinjskih Alp. V bližini pa se vidijo Golaki, Vremščica in malo bolj oddaljeni Snežnik.                                                                                                                                                                       "

Vremščica,"Goriško, Notranjsko in Snežniško hribovje", 1027,"45,6883°N","14,0616°E", vrh, 600232, 98% ,61. mesto,8,1,"Vremščica je pogorje, ki se razteza med Senožečami, Pivko in Divačo. Najvišji vrh pogorja je Velika Vremščica. Razgled z vrha sega od Dolomitov, Julijskih Alp, prek Nanosa do Kamniško Savinjskih Alp ter prek Javornikov, Snežnika in Slavnika do Jadranskega morja."

Sveti Hieronim,"Goriško, Notranjsko in Snežniško hribovje", 1020,"45,7793°N","14,03613°E", cerkev, 332254, 68% ,864. mesto,7,0,"Cerkev sv. Hieronima se nahaja na južnem delu planote Nanos, tik nad strmimi pobočji Rebrnic. Od cerkve, ki je bila zgrajena le ta 1360, se nam odpre lep razgled na vrhove, ki obdajajo Vipavsko dolino."

Gora (Sveti Lovrenc),"Goriško, Notranjsko in Snežniško hribovje", 1019,"45,83905°N","14,16735°E"," vrh, cerkev", 458483, 86% ,386. mesto,3,0,"Gora ali Sveti Lovrenc je vrh nad Studenim. To je vasica severno od Postojne, ki je tudi primerno izhodišče za vzpon na vrh te razgledne gore. Z vrha, ki ima vpisno skrinjico je lep razgled proti Postojnski kotlini in hribovju nad Postojno in Cerknico. Najlepše se vidijo Snežnik, Slivnica, Javorniki, Vremščica in del Nanosa. Na ostale strani razgled ovira gozd."

Koča na Kamnem griču,"Goriško, Notranjsko in Snežniško hribovje", 1016,"45,72936°N","14,61693°E"," vrh, koča", 287318, 62% ,1035. mesto,7,0,"Koča se nahaja na Kamnem griču, razgledni vzpetini, ki se dviguje jugozahodno od Sodražice. S travnatega vrha, ki ga obdaja gozd je lep razgled na okoliško hribovje."

Firstov rep,"Goriško, Notranjsko in Snežniško hribovje", 1002,"45,53699°N","14,74876°E", , 2660, 24% ,2070. mesto,5,0,"Firstov rep se nahaja severno od Loške stene, na njem pa se nahaja vpisna skrinjica z vpisno knjigo in žigom. Od vpisne skrinjice na Firstovem repu, se nam odpre lep pogled na strma pobočja in ostenja Borovške gore, ki se spuščajo proti Zgornji Kolpski dolini."

Sinji vrh,"Goriško, Notranjsko in Snežniško hribovje", 1002,"45,90828°N","13,93735°E", vrh, 537284, 94% ,151. mesto,11,1,"Sinji vrh je razgledna gora, ki se nahaja med Colom, Ajdovščino in Predmejo. Z vrha je lep pogled po večjem delu zahodne Slovenije (ob lepem vremenu se vidi tudi morje). Na vrhu stoji manjši križ, žig pa je 3 minute pod vrhom pri penzionu Sinji vrh."

Županov vrh,"Goriško, Notranjsko in Snežniško hribovje", 999,"45,8963°N","14,4494°E", vrh, 321710, 67% ,904. mesto,6,0,"Županov vrh je 999 metrov visok vrh, ki se nahaja jugovzhodno od Rakitne. S travnatega vrha, na katerem se nahaja trigonometrična točka ter manjši antenski stolp, se nam ob lepem vremenu odpre lep pogled na notranjska hribovja, ob lepi vidljivosti pa razgled seže vse do Alp."

Novaška gora,"Goriško, Notranjsko in Snežniško hribovje", 998,"45,88663°N","14,42055°E", vrh, 189262, 48% ,1421. mesto,1,0,"Novaška gora je z gozdom poraščen vrh, ki se nahaja zahodno od Rakitne."

Grmada pri Slavniku,"Goriško, Notranjsko in Snežniško hribovje", 998,"45,53884°N","13,96739°E", vrh, 336940, 69% ,843. mesto,2,0,"Grmada je 998m visok vrh, ki se nahaja severozahodno od Slavnika. Z vrha na katerem se nahaja opazovalnica protipožarne varnosti je lep pogled po večjem delu Primorske."

Koča na Kozleku,"Goriško, Notranjsko in Snežniško hribovje", 997,"45,54458°N","14,32259°E"," vrh, koča", 349752, 71% ,796. mesto,3,0,"Koča se nahaja jugozahodno od Ilirske Bistrice, le nekaj metrov pod vrhom Kozleka. Z vrha je lep pogled le proti jugu in zahodu, kjer vidimo dolino reke Reke in hribovje, ki obdaja omenjeno dolino. "

Špiček (Špečk),"Goriško, Notranjsko in Snežniško hribovje", 986,"45,89795°N","14,00735°E", vrh, 236090, 54% ,1239. mesto,3,0,"Špiček (domačini mu pravijo Špečk) je vrh, ki se nahaja severno do severovzhodno od Cola. Na vrhu je postavljen križ v čast sv. Hubertu in v spomin na prvo obletnico obiska svetega očeta v Sloveniji. Z vrha, na katerem je vpisna skrinjica z vpisno knjigo ter večimi klopmi, se nam odpre lep razgled proti Javorniku, Hrušici, Nanosu, Colu, delu Vipavske doline, ob lepi vidljivosti pa razgled seže vse do Kamniško Savinjskih Alp."

Lovsko zavetišče pod Čavnom,"Goriško, Notranjsko in Snežniško hribovje", 980,"45,93452°N","13,78879°E"," vrh, bivak", 210554, 51% ,1337. mesto,1,0,"Lovsko zavetišče se nahaja na razgledni vzpetini stranskega grebena Čavna. Od zavetišča, ki služi kot zasilni bivak je lep razgled na Vipavsko dolino, Trstelj, Tržaški zaliv in Dolomite."

Volovja reber,"Goriško, Notranjsko in Snežniško hribovje", 975,"45,60216°N","14,28646°E", vrh, 261818, 58% ,1135. mesto,1,0,"Volovja reber, vsem znana po predlogu izgradenj vetrnih elektrarn, se nahaja zahodno od prostranih snežniških gozdov. S travnatega vrha, na katerem lahko opazimo številne, med njimi tudi zelo redke rastline, se nam odpre lep razgled po večjem delu jugozahodne Slovenije, ob lepem vremenu pa razgled seže vse do italijanskih Dolomitov. "

Sveti Bric (Nanos),"Goriško, Notranjsko in Snežniško hribovje", 965,"45,79265°N","14,06842°E", cerkev, 246400, 56% ,1197. mesto,2,0,"Cerkev svetega Brica (po nekaterih zapisih tudi sveti Brikcij) se nahaja južno od Suhega vrha, pod pobočji Votle stene, ki se strmo spušča z Nanoške planote. Od cerkve, pred katero je nekaj klopi, zaradi gozda, ki le to obdaja ni razgleda."

Rotovc,"Goriško, Notranjsko in Snežniško hribovje", 964,"45,8941°N","14,4559°E", vrh, 284311, 61% ,1049. mesto,4,0,"Rotovc je 964 m visok vrh, ki se nahaja severovzhodno od Rakitne. Z vrha, na katerem stoji lesena klop, se nam odpre lep razgled proti že omenjeni Rakitni, Novaški gori in Krimščku."

Mišnice,"Goriško, Notranjsko in Snežniško hribovje", 961,"45,9081°N","14,4678°E", vrh, 1540, 20% ,2169. mesto,2,0,"Mišnice so manj znan vrh, ki se nahaja med Krimom in Rakitno. Z večinoma poraščenega vrha se nam odpre nekaj razgleda skozi krošnje dreves, sicer pa vrh ne nudi lepšega razgleda."

Kovk,"Goriško, Notranjsko in Snežniško hribovje", 961,"45,88792°N","13,96903°E", vrh, 374628, 74% ,700. mesto,3,1,"Kovk je razgleden vrh, ki se nahaja zahodno od Cola, na razpotegnjenem grebenu, ki se strmo dviga nad Vipavsko dolino. Z vrha na katerem stoji križ se nam odpre lep razgled proti Nanosu, delu Vipavske doline, Čavnu in Golakom. Vrh ima vpisno skrinjico in žig."

Križna gora nad Colom,"Goriško, Notranjsko in Snežniško hribovje", 957,"45,89532°N","14,0033°E", vrh, 259403, 58% ,1146. mesto,2,0,"Križna gora je 957 m visok vrh, ki se nahaja severno od Cola. Z vrha, ki je na severno stran porasel z gozdom, se nam odpre lep razgled proti vzhodu, jugu in zahodu, kjer lepo vidimo večinoma gozdnate vrhove Hrušice, Nanosa in dela Čavna. Pod nami lepo vidimo Col, še nekoliko bolj proti jugu pa del Vipavske doline."

Velika Špička,"Goriško, Notranjsko in Snežniško hribovje", 955,"45,83534°N","14,39687°E", vrh, 372919, 74% ,708. mesto,4,0,"Velika Špička oz. Špičasto Stražišče je vrh, ki se nahaja severno od Slivnice. Z vrha, ki ima vpisno skrinjico z žigom je lep razgled proti Snežniku, že omenjeni Slivnici, Javornikom in Nanosu. Na ostale strani razgled ovira gozd, a se z malo truda vidi tudi del Julijcev."

Mala Plešivica,"Goriško, Notranjsko in Snežniško hribovje", 953,"45,5066°N","14,0345°E", vrh, 211923, 51% ,1331. mesto,2,0,"Mala Plešivica, ki je višja od sosednje Velike Plešivice je razgleden vrh, ki se nahaja zahodno od vasi Golac ob meji s Hrvaško. Z vrha se nam tako ob lepem vremenu odpre lep razgled, ki seže vse od bližnje Medvižice in Razsušice prek Istre do daljnih Dolomitov, Julijskih in Kamniško Savinjskih Alp do Snežnika."

Ježa,"Goriško, Notranjsko in Snežniško hribovje", 949,"46,17044°N","13,67452°E", vrh, 186210, 47% ,1433. mesto,2,0,"Ježa je 949 m visok vrh, ki se nahaja zahodno od Volč, točneje na pobočjih Kolovrata. Z vrha, na katerem je vpisna skrinjica z vpisno knjigo in žigom, se nam odpre lep pogled na Trnovski gozd, okoliško hribovje ter skozi krošnje dreves proti delu Julijskih Alp."

Milanka,"Goriško, Notranjsko in Snežniško hribovje", 948,"45,60399°N","14,2804°E", vrh, 134837, 40% ,1632. mesto,1,0,"Milanka je 948m visok vrh, ki se nahaja zahodno od Volovje rebri. Ker je vrh deloma poraščen, se nam z njega odpre razgled le proti jugu in zahodu, kjer lahko vidimo okoliško hribovje in kraška polja."

Leskovica (nad Stražiščem),"Goriško, Notranjsko in Snežniško hribovje", 947,"45,8479°N","14,3929°E", vrh, 550, 12% ,2381. mesto,2,0,"Leskovica je 947 metrov visok vrh, ki se nahaja nad Kožljekom in Stražiščem. Z vrha, preko katerega vodi visokonapetostni daljnovod Beričevo - Divača, se nam odpre lep razgled proti Slivnici, Snežniku, Javornikom, Nanosu, ob lepem vremenu pa razgled seže vse do Alp."

Krempa,"Goriško, Notranjsko in Snežniško hribovje", 944,"45,53108°N","14,78095°E", vrh, 205152, 50% ,1357. mesto,1,0,"Krempa je 944 m visoka gora, ki se nahaja v osrednjem delu Borovške gore, pogorja, ki se strmo dviga nad Zgornje kolpsko dolino. Na vrhu je vpisna skrinjica ter žig Kočevske planinske poti.<br>Malo pod vrhom, na istoimenskem sedlu pa se nahaja znano rastišče narcis."

Krimšček,"Goriško, Notranjsko in Snežniško hribovje", 940,"45,89632°N","14,41087°E", vrh, 228585, 53% ,1265. mesto,1,0,"Krimšček oz. Krimček kot mu pravijo domačini je 940 m visoka gora, ki se strmo dviga vzhodno od Brezovice pri Borovnici. Vrh je porasel z gozdom, zato z njega ni razgleda."

Petričev hrib,"Goriško, Notranjsko in Snežniško hribovje", 937,"45,83407°N","14,21325°E", vrh, 277601, 60% ,1075. mesto,4,0,"Petričev hrib je vrh severno od Postojne in zahodno od Planine. Z vrha, ki ima vpisno skrinjico je lep razgled na notranjsko hribovje, kjer se lepo vidijo Snežnik, Slivnica, Javorniki, Vremščica..."

Deveti konfin,"Goriško, Notranjsko in Snežniško hribovje", 930,"46,16845°N","13,68253°E", vrh, 182923, 47% ,1445. mesto,2,0,"Deveti konfin je 930 m visok vrh v pogorju Kolovrata, ki se nahaja med Ježo in Očno. Z vrha, na katerem se v manjši piramidi nahaja vpisna skrinjica, zaradi gozda ni razgleda.<br> Ime Deveti konfin pa izhaja iz dejstva, da so se na vrhu stikale meje devetih lastnikov (povzeto s spletne strani dolina-soce.com)."

Kopitnik,"Goriško, Notranjsko in Snežniško hribovje", 929,"45,94571°N","13,77667°E", bivak, 246568, 56% ,1196. mesto,4,1,"Kopitnik znan kot vzletna točka zmajarjev in padalcev se nahaja nad vasjo Vitovlje nad Vipavsko dolino. V bližini vzletišča se nahaja manjše zavetišče in ob njem vpisna skrinjica. <br>Razgled s Kopitnika pa seže po večjem delu Vipavske doline, prek Tržaškega zaliva do Dolomitov."

Srednji vrh pri Kozleku,"Goriško, Notranjsko in Snežniško hribovje", 923,"45,54823°N","14,31222°E", vrh, 182351, 47% ,1447. mesto,2,0,"Srednji vrh je razgledna gora, ki se nahaja zahodno od Ilirske Bistrice, v bližini bolj poznanega Kozleka. Z vrha je lep razgled navzdol proti dolini reke Reke in okoliškem hribovju."

Dolski maj,"Goriško, Notranjsko in Snežniško hribovje", 912,"45,93387°N","13,89449°E", vrh, 171244, 45% ,1492. mesto,2,0,"Dolski maj (tudi Predmejski maj) je 912 m visok vrh, ki se nahaja na robu Gore, točneje med Predmejo in Otlico. Z vrha, na katerem se nahaja manjša razgledna plošča ter ob njej vpisna skrinjica, se nam odpre lep razgled na Modrasovec, Golake, Nanos in Vipavsko dolino."

Velika Plešivica,"Goriško, Notranjsko in Snežniško hribovje", 908,"45,5181°N","14,02302°E", vrh, 231387, 54% ,1252. mesto,2,0,"Velika Plešivica je 908 m visok vrh, ki se nahaja med Slavnikom in manj znano Malo Plešivico. Z vrha na katerem se nahaja uničena vpisna skrinjica je lep razgled proti Istri, Tržaškemu zalivu, Slavniku in bližnji Mali Plešivici, ob lepem vremenu pa razgled seže vse do Dolomitov."

Lovska koča Urška,"Goriško, Notranjsko in Snežniško hribovje", 908,"45,71171°N","14,53618°E", , 145107, 41% ,1594. mesto,1,0,Lovska koča Urška se nahaja vzhodno od Racne gore na obrobju Uršjega laza. Pred kočo se nahaja skrinjica z vpisno knjigo in žigom. 

Očna,"Goriško, Notranjsko in Snežniško hribovje", 906,"46,16753°N","13,68815°E", vrh, 156665, 43% ,1548. mesto,2,0,"Očna je 906 m visok vrh, ki se nahaja v pogorju Kolovrata, le ta pa zahodno od Tolmina. S travnika nekaj metrov stran od vrha, se nam odpre lep razgled na Julijske Alpe, Tolmin in Trnovski gozd."

Dom na Travni Gori,"Goriško, Notranjsko in Snežniško hribovje", 906,"45,7355°N","14,64488°E", koča, 282922, 61% ,1055. mesto,2,0,"Dom se nahaja južno od Sodražice na pobočjih Travne gore. Zaradi bližnjega gozda, ki obdaja travnik ob domu je razgled omejen le na bližnji travnik in krošnje dreves."

Furlanovo zavetišče pri Abramu,"Goriško, Notranjsko in Snežniško hribovje", 900,"45,81891°N","14,01858°E", koča, 478165, 88% ,326. mesto,8,0,"Furlanovo zavetišče pri Abramu, je priljubljena izletniška točka, ki se nahaja vzhodno od Vipavske doline. Velik del obiskovalcev, se do zavetišča pripelje kar z avtomobili in si nato ogledujejo v majhno kletko zaprtega medveda. Od zavetišča, ki je točka slovenske planinske poti, je razgled omejen le na planoto Nanosa in delu okoliškega hribovja."

Kraguljc,"Goriško, Notranjsko in Snežniško hribovje", 897,"45,89099°N","13,94985°E", vrh, 1525, 20% ,2173. mesto,3,0,"Kraguljc je gora, ki se nahaja med Podrto goro in Sončnico. Na razglednem vrhu, s katerega se odpre lep pogled proti Vipavski dolini in delu planote Gora, se nahaja trigonometrična točka."

Bezgarska planina,"Goriško, Notranjsko in Snežniško hribovje", 895,"45,5559°N","14,7199°E", planina, 950, 16% ,2267. mesto,4,0,"Bezgarska planina se nahaja zahodno od Borovške gore nad Zgornjo Kolpsko dolino. Na planini se nahaja označeno razpotje, večja lovska opazovalnica, v kateri je po predhodnem dogovoru z lovsko družino možno tudi prespati."

Marutnik,"Goriško, Notranjsko in Snežniško hribovje", 892,"46,00901°N","14,05159°E", vrh, 930, 16% ,2276. mesto,2,0,"Marutnik je 892 metrov visok vrh, ki se nahaja vzhodno do severovzhodno od Idrije, v bližini naselja Gore. Na vrhu stoji trigonometrična točka, v bližini nje pa še manjša klopca, nekoliko nižje pa še obeležje NOB. Vrh je poraščen, se nam pa z bližnjega travnika odpre lep pogled na Škofjeloško hribovje, ob lepi vidljivosti pa razgled seže vse do Alp."

Golič,"Goriško, Notranjsko in Snežniško hribovje", 890,"45,49142°N","13,97161°E", vrh, 357061, 72% ,767. mesto,5,1,"Golič je travnat greben, ki se razprostira od Kojnika do Slovensko-Hrvaške meje in se nadaljuje v greben Žbevnice na Hrvaški strani. Zaradi relativno dolgih dostopov je slabo obiskan in to mu daje tudi svoj čar. Na prvi ekstremiteti grebena s severo-zahoda je postavljen ""križ"" z vpisno knjigo. Naslednji kucelj je najvišji vrh Goliča (890 m), sledi Nadglavinjak (888 m), ki je zadnji vrh grebena, ki je v celoti na Slovenski strani.<br>S celotnega grebena se odpira lep razgled na Istro, morje, Snežnik ter seveda sosed Slavnik. V lepem vremenu se lahko vidi tudi Dolomite in zahodni del Julijskih Alp."

Gozdarska koča Pri logarnici,"Goriško, Notranjsko in Snežniško hribovje", 889,"45,8884°N","14,5348°E", , 150073, 42% ,1573. mesto,1,0,"Gozdarska koča Pri logarnici, se nahaja na večji travnati ravnici jugovzhodno od Mokrca. Ob gozdarski koči se nahaja še lepo urejen vikend ter staro gospodarsko poslopje. Pri koči je tudi kontrolna točka najdaljše slovenske poti (pot kurirjev in vezistov NOV Slovenije, dolga je okoli 1300 km)."

Nadglavinjak,"Goriško, Notranjsko in Snežniško hribovje", 888,"45,4815°N","13,9818°E", vrh, 113113, 37% ,1717. mesto,1,0,"Nadglavinjak je manj znan vrh, ki se nahaja jugovzhodno od Goliča. Z neizrazitega in travnatega vrha, se nam odpre lep pogled na Slavnik, Čičarijo, Žbevnico, Kavčič, Lipnik ter Tržaški zaliv."

Sekulak,"Goriško, Notranjsko in Snežniško hribovje", 888,"45,93427°N","13,78518°E", , 274378, 60% ,1086. mesto,3,0,"Sekulak je razgledna točka, ki se nahaja na stranskem grebenu Čavenskega masiva. Ker Sekulak izstopa iz linije glavnega grebena, se nam z njega odpre čudovit pogled na zgornji in spodnji del Vipavske doline. Ob lepem vremenu pa razgled seže vse od Jadranskega morja do Dolomitov."

Vrh Svetih Treh Kraljev,"Goriško, Notranjsko in Snežniško hribovje", 884,"46,01034°N","14,16879°E"," vrh, cerkev", 418004, 80% ,537. mesto,9,0,"Cerkev Svetih Treh kraljev se nahaja na razgledni vzpetini nad vasjo Vrh Svetih Treh kraljev. Z vrha, ki ima razgledno ploščo je lep razgled po pred alpskem hribovju. V ozadju pa se vidijo tudi gore od Krna, Triglava, Blegoša, Ratitovca do Karavank. V verigi gora vzhodno od Krna lahko opazimo Spodnje Bohinjske gore, kjer najlažje prepoznamo Črno prst. Na vrh, ki ima poleg cerkve tudi pokopališče pripelje asfaltirana cesta. Nedeljska Sveta maša je običajno ob 10 uri."

Kavčič,"Goriško, Notranjsko in Snežniško hribovje", 879,"45,4711°N","13,9835°E", vrh, 229393, 53% ,1261. mesto,3,0,"Kavčič je travnat vrh, ki se nahaja nad vasjo Rakitovec ob slovensko hrvaški meji. Z vrha, na katerem stojita dva križa ter ob njima vpisna skrinjica, se nam odpre lep razgled proti Učki, Istri, Tržaškemu zalivu, Dolomitom, Julijskim Alpam ter bližnjemu Lipniku, Goliču in Žbevnici."

Lovska koča na Planinski gori,"Goriško, Notranjsko in Snežniško hribovje", 879,"45,84046°N","14,23116°E", koča, 309556, 65% ,950. mesto,4,0,Lovska koča na Planinski gori se nahaja med Grmado (873m) in Petričevim hribom (937m). Do koče pred katero je veliko parkirišče pripelje makadamska cesta iz Lohače (vas v bližini Planine).
